"state","county_name","total_pop","male_pop","female_pop","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","commuters_by_public_transportation","median_income","housing_units","vacant_housing_units","employed_pop","unemployed_pop","in_school","in_undergrad_college","cases_per_10000","deaths_per_10000","death_per_case","bad"
"vermont","essex",6203,50.5400612606803,49.4599387393197,95.5827825245849,1.03175882637433,0.515879413187167,1.33806222795422,0.32242463324198,0.0644849266483959,38767,82.6213122682573,38.7715621473481,44.8815089472836,2.40206351765275,17.8300822182815,2.40206351765275,178.945671449299,0,0,"FALSE"
"vermont","chittenden",160985,49.0281703264279,50.9718296735721,89.2362642482219,2.54123054943007,3.81650464328975,2.20020498804236,0.232319781346088,1.45106686958412,66906,42.5213529210796,2.20331086747212,55.9393732335311,2.37724011553871,28.5809236885424,10.7798863248129,225.859552132186,4.84517191042644,0.0214521452145215,"FALSE"
"delaware","kent",173145,48.2508879840596,51.7491120159404,62.7375898813133,24.1006093158913,1.9977475526293,6.82664818504721,0.558491437812238,0.521528198908429,57647,40.1432325507523,3.53749747321609,45.0939963614312,3.21291403159202,27.2771376591874,7.24479482514655,666.955441970603,10.8001963672067,0.0161932802216834,"FALSE"
"rhode island","washington",126190,48.4618432522387,51.5381567477613,91.2956652666614,1.28457088517315,1.93042237895237,2.98676598779618,0.829701244155638,0.556303986052778,77862,50.2813218163087,10.9691734685791,51.1736270702908,3.2823520088755,27.4704810206831,10.8233615975909,437.514858546636,9.66796101117363,0.0220974461148343,"FALSE"
"new hampshire","belknap",60383,49.1943096566915,50.8056903433086,95.2635675604061,0.471987148700793,0.95887915472898,1.57494659092791,0.215292383617906,0.018217047844592,65834,63.1767219250451,22.4715565639336,50.7990659622741,2.63153536591425,21.2278290247255,4.26278919563453,413.361376546379,13.0831525429343,0.031650641025641,"TRUE"
"rhode island","newport",83204,49.2187875582905,50.7812124417095,85.9922599875006,3.12004230565838,2.00711504254603,5.55622325849719,0.348540935531946,0.991538868323638,75463,50.8280851882121,8.2568145762223,49.8425556463632,2.82318157780876,22.0614393538772,6.15355031008125,430.027402528725,0.721119176962646,0.00167691447736165,"FALSE"
"vermont","lamoille",25191,49.6367750387043,50.3632249612957,94.8553054662379,0.849509745544044,0.639117145012107,1.61962605692509,0.825691715295145,0.261998332737883,54899,53.3166607121591,12.0281052756937,53.340478742408,2.08804731848676,23.2702155531738,5.46623794212219,123.853757294272,0.396967170814974,0.0032051282051282,"FALSE"
"connecticut","tolland",151596,50.2401118763028,49.7598881236972,85.4369508430302,2.91894245230745,4.41304519908177,5.18483337291221,0.0250666244491939,1.03696667458244,81312,38.9845378506029,2.78437425789599,53.1762051769176,3.27317343465527,31.8642972110082,14.4166072983456,412.609831393968,8.24560014776115,0.0199840127897682,"FALSE"
"vermont","addison",36825,49.4609640190088,50.5390359809912,92.9938900203666,0.915139171758316,1.93075356415479,2.15885947046843,0.255261371350984,0.377460964019009,61875,46.7427019687712,6.8214528173795,53.9633401221996,2.46300067888663,25.5016972165648,9.45824847250509,143.109300746775,1.35777325186694,0.0094876660341556,"FALSE"
"vermont","caledonia",30576,50.2551020408163,49.7448979591837,95.074568288854,0.889586603872318,0.608320251177394,1.50444793301936,0.212585034013605,0.0555991627420199,47371,53.2247514390372,13.6708529565672,47.3410518053375,2.4234693877551,22.3606750392465,4.55586080586081,100.405546834118,1.30821559392988,0.0130293159609121,"FALSE"
"massachusetts","nantucket",10912,53.1891495601173,46.8108504398827,73.7719941348974,8.00036656891496,2.38269794721408,8.64186217008798,0.586510263929619,0.888929618768329,91942,110.245601173021,75.7789589442815,58.7243401759531,2.30021994134897,20.1887829912023,4.24303519061584,907.258064516129,1.83284457478006,0.00202020202020202,"FALSE"
"massachusetts","plymouth",509114,48.6704353052558,51.3295646947442,81.8702687413821,8.80038655389559,1.22133746076517,3.66597657891946,0.0986026705217299,2.85338843559596,82081,40.2196757504213,4.04015603577981,51.393793924347,3.29768971193092,25.0435069552202,5.12733886712996,633.374843355319,21.6847307282848,0.0342368045649073,"TRUE"
"massachusetts","barnstable",213900,47.7568957456755,52.2431042543244,90.190275829827,2.6643291257597,1.45441795231417,2.74380551659654,0.429172510518934,0.642356241234222,68048,76.0303880317906,31.6119682094437,48.7358578775129,2.81065918653576,18.2412342215989,3.61991584852735,350.584385226741,14.1654978962132,0.0404053873849847,"TRUE"
"new hampshire","cheshire",76109,48.8759542235478,51.1240457764522,94.5091907658753,0.664835958953606,1.27448790550395,1.71070438450118,0.164238132152571,0.214166524326952,60148,46.3861041401148,6.2738966482282,52.6048167759398,2.47408322274632,24.8814200685858,8.89645114244045,261.072934869726,1.18251455149851,0.00452944136889784,"FALSE"
"massachusetts","berkshire",127751,48.3291715916118,51.6708284083882,88.9903014457813,2.56749457929879,1.63442947609021,4.27472191998497,0.198041502610547,0.68649169086739,55190,53.954959256679,10.8531440067005,50.0559682507378,3.67981463941574,22.2612738843532,6.31854153783532,319.449554210926,14.6378501929535,0.045822102425876,"TRUE"
"massachusetts","franklin",70926,48.8720638411866,51.1279361588134,91.1767193976821,1.23931985449624,1.48182612864112,3.76307700984124,0.186109466204213,0.893889405859628,57307,47.9288272283789,4.90934213123537,52.10078109579,3.21602797281674,21.1741815413248,4.68093505907566,227.702112060457,13.3942418859093,0.0588235294117647,"TRUE"
"new hampshire","grafton",89280,49.2293906810036,50.7706093189964,91.217517921147,1.00918458781362,3.35797491039427,2.22222222222222,0.414426523297491,0.789650537634409,61036,58.6323924731183,19.5911738351254,51.3519265232975,2.16621863799283,25.0235215053763,9.34363799283154,180.779569892473,1.12007168458781,0.00619578686493185,"FALSE"
"new hampshire","carroll",47524,49.9410824004713,50.0589175995287,96.0946048312432,0.490278596077771,0.587071795303426,1.36562578907499,0.0778553993771568,0.164127598686979,58139,85.7019611143843,41.0866088713071,49.0783604073731,2.41141318070869,17.3301910613585,2.49347698005218,266.8125578655,0.84167999326656,0.00315457413249211,"FALSE"
"connecticut","litchfield",184454,49.4421373350537,50.5578626649463,89.4488598783437,1.54130569139189,1.90616630704674,5.69789757880013,0.144751536968567,0.723215544254936,76438,47.7452372949353,7.29883873486072,53.2197729515218,3.41277500081321,21.5820746636018,4.07798150216314,498.281414336366,13.228230344693,0.0265477097160265,"TRUE"
"vermont","grand isle",6950,49.3812949640288,50.6187050359712,93.2230215827338,0.18705035971223,0.474820143884892,1.7841726618705,0.719424460431655,0.129496402877698,66111,74.9928057553957,32.5179856115108,54.1870503597122,2.80575539568345,19.2230215827338,3.22302158273381,112.230215827338,0,0,"FALSE"
"massachusetts","dukes",17275,47.9421128798842,52.0578871201158,86.9522431259045,3.73371924746744,0.306801736613603,1.62083936324168,1.56874095513748,2.02026049204052,67535,102.327062228654,66.7901591895803,53.0940665701881,1.63241678726483,18.5586107091172,1.80028943560058,391.316931982634,0,0,"FALSE"
"vermont","orleans",26951,50.2170605914437,49.7829394085563,95.4843976104783,0.426700307966309,0.333939371451894,1.36173054803161,0.541723869244184,0.0259730622240362,45664,63.3742718266484,20.7116619049386,45.3675188304701,2.07042410300174,20.0957292864829,2.93866646877667,120.960261214797,1.8552187302883,0.0153374233128834,"FALSE"
"vermont","bennington",36054,49.0625173351084,50.9374826648916,94.7467687357852,0.801575414655794,0.388306429245021,1.7529261663061,0.0859821379042547,0.246851944305764,52251,58.5455150607422,16.1646419259999,48.8295334775614,2.22998835080712,21.8782936706052,5.05353081488878,217.451600377212,0.832085205525046,0.0038265306122449,"FALSE"
"new hampshire","merrimack",147958,49.2464077643656,50.7535922356344,93.1352140472296,1.17600940807526,1.77617972667919,1.98434690925803,0.0831316995363549,0.190594628205301,69856,43.5589829546223,4.86759756147015,52.3979778045121,2.18913475445735,23.5249192338366,5.7631219670447,411.738466321524,6.21798077832899,0.0151017728168089,"FALSE"
"vermont","windham",43332,48.8599649219976,51.1400350780024,93.4621065263547,0.791562817317456,1.0177236222653,2.18775962337303,0.106157112526539,0.572325302316994,50831,69.849072279147,25.8654112434229,50.4984768762116,3.00009231053263,20.6706360195698,4.6016800516939,163.620419089818,2.0769869842149,0.0126939351198872,"FALSE"
"new hampshire","strafford",126552,48.9427271003224,51.0572728996776,91.3885201340161,0.822586762753651,3.19315380238953,2.20620772488779,0.0466211517795057,1.23664580567672,67805,41.966148302674,3.60800303432581,54.6044313799861,2.51991276313294,28.5250331879386,11.3392123395916,388.535937796321,3.71388836209621,0.00955867398820419,"FALSE"
"new hampshire","sullivan",43073,49.3650314582221,50.6349685417779,95.4310124672068,0.427181761196109,0.617556241729157,1.43941680403037,0.336637800942586,0.164836440461542,59419,52.3901283866924,11.1113690711118,50.2542195807118,1.943212685441,19.5923200148585,2.48415480695563,198.500220555801,1.85731200520047,0.00935672514619883,"FALSE"
"rhode island","bristol",49028,48.1867504283267,51.8132495716733,92.6939707922004,1.25846455086889,1.9988577955454,2.72497348453945,0.0326344129884964,0.824018927959533,74630,42.7592396181774,2.94321612140002,51.0463408664437,2.25381414701803,26.8601615403443,8.67667455331647,663.090478910011,15.909276331892,0.0239926176561058,"TRUE"
"connecticut","middlesex",164110,48.8861129730059,51.1138870269941,84.4086283590275,4.90280909146304,2.91268051916398,5.85704710255317,0.0950581926756444,0.847602218024496,81673,46.2726220218146,5.69069526537079,53.8321857290841,2.87307293888246,23.4050332094327,6.25738833709098,517.762476387789,18.1585521906039,0.0350712016005649,"TRUE"
"vermont","washington",58691,49.4062121960778,50.5937878039222,94.3705167742925,0.797396534391985,0.645754885757612,1.85207271983779,0.264095006048628,0.587824368301784,60602,51.9841202228621,9.86693019372647,54.0167998500622,2.21499037331107,23.0887188836449,5.57155270825169,177.539997614626,1.87422262357091,0.0105566218809981,"FALSE"
"vermont","windsor",55485,48.9699918896999,51.0300081103001,94.9734162386231,0.708299540416329,0.798413985761918,1.50130665945751,0.151392268180589,0.319005136523385,56828,62.409660268541,18.936649544922,50.642515995314,2.37000991258899,19.7837253311706,2.61872578174281,133.910065783545,0.720915562764711,0.0053835800807537,"FALSE"
"new hampshire","rockingham",302479,49.5168259614717,50.4831740385283,93.1555579064993,0.655582701609037,1.92013329850998,2.66266418495168,0.103808859458012,0.449287388545982,85619,43.0400126950962,3.38271417189292,56.4525140588272,2.55521870939801,22.445194542431,3.86605351115284,472.396430826603,5.42186399717005,0.0114773602071524,"FALSE"
"connecticut","windham",116674,49.6305946483364,50.3694053516636,83.5096079674992,1.80845775408403,1.30191816514391,11.0958739736359,0.0222843135574335,0.283696453365788,62553,42.4919005091109,4.32658518607402,50.5871059533401,4.16288119032518,25.136705692785,7.33753878327648,634.417265200473,9.34226991446252,0.0147257497973521,"FALSE"
